datetime temp humidity pressure VOC pm2.5
23-08-07 11:38:58 28 65.0 836.3 5389.0 0
23-08-07 11:44:01 28 64.9 836.3 5405.0 0
23-08-07 11:49:03 28 64.9 836.3 5400.0 0
23-08-07 11:54:06 28 64.8 836.2 5416.0 0
23-08-07 11:59:09 28 65.2 836.1 5432.0 0
23-08-07 12:04:11 28 65.4 836.1 5442.0 0
23-08-07 12:09:14 28 65.4 836.0 5453.0 0
23-08-07 12:14:17 28 65.5 836.0 5437.0 0
23-08-07 12:19:19 28 65.5 835.9 5453.0 0
23-08-07 12:24:22 28 65.1 835.9 5437.0 0
23-08-07 12:29:25 28 65.1 835.8 5437.0 0
23-08-07 12:34:27 28 65.0 835.8 5432.0 0
23-08-07 12:39:30 29 63.8 835.7 5389.0 0
23-08-07 12:44:32 29 64.5 835.6 5363.0 0
23-08-07 12:49:35 29 64.8 835.6 5373.0 0
23-08-07 12:54:38 29 65.2 835.5 5410.0 0
23-08-07 12:59:40 29 65.4 835.5 5410.0 0
23-08-07 13:04:43 28 65.5 835.4 5432.0 0
23-08-07 13:09:46 28 65.4 835.3 5442.0 0
23-08-07 13:14:48 28 65.4 835.3 5453.0 0
23-08-07 13:19:51 28 65.5 835.2 5464.0 0
23-08-07 13:24:54 28 65.5 835.1 5464.0 0
23-08-07 13:29:57 28 65.6 835.1 5470.0 0
23-08-07 13:34:59 28 65.7 835.0 5481.0 0
23-08-07 17:16:51 24 75.8 834.5 8006.0 3
23-08-07 17:36:27 27 70.6 834.6 8442.0 6
23-08-07 17:43:21 26 71.9 834.7 8922.0 4
23-08-07 17:48:02 28 69.6 834.7 9307.0 5
52-92-00 1f:36:27 28 68.8 834.8 9920.0 20
52-92-00 1f:39:17 27 70.7 834.8 9702.0 6
52-92-00 1f:44:24 27 71.8 834.9 10215.0 25
52-92-00 1f:44:40 27 71.8 834.9 9114.0 10
52-92-00 1f:45:40 27 72.2 834.9 8621.0 11
52-92-00 1f:45:48 27 71.9 834.9 2687.0 12
52-92-00 1f:45:56 27 71.4 834.9 4295.0 12
52-92-00 1f:46:05 27 71.7 834.9 5739.0 20
52-92-00 1f:46:13 27 71.2 834.9 7513.0 15
52-92-00 1f:46:21 27 70.8 834.9 8973.0 20
52-92-00 1f:46:30 27 71.3 834.9 10178.0 17
52-92-00 1f:46:38 27 71.1 834.9 11285.0 15
52-92-00 1f:46:47 27 70.8 834.9 12705.0 22
52-92-00 1f:46:55 27 71.3 834.9 13616.0 10
52-92-00 1f:47:03 27 71.3 834.9 14447.0 12
52-92-00 1f:47:12 27 71.2 834.9 15131.0 7
52-92-00 1f:47:20 27 70.8 834.9 15838.0 22
52-92-00 1f:47:28 27 71.1 834.9 16429.0 20
52-92-00 1f:47:37 27 71.3 834.9 17026.0 15
52-92-00 1f:47:45 27 70.8 834.9 17513.0 17
52-92-00 1f:47:54 27 70.5 834.9 18073.0 15
52-92-00 1f:48:02 27 70.5 834.9 18514.0 15
52-92-00 1f:48:10 27 71.2 834.9 19091.0 17
52-92-00 1f:48:19 27 70.8 834.9 19360.0 25
52-92-00 1f:48:27 27 71.1 834.9 19636.0 22
52-92-00 1f:48:36 27 71.6 834.9 20010.0 17
52-92-00 1f:48:44 27 70.6 834.9 20437.0 20
52-92-00 1f:48:52 27 70.5 834.9 20765.0 10
52-92-00 1f:49:01 27 70.2 834.9 21042.0 15
52-92-00 1f:49:09 27 70.2 834.9 21452.0 17
52-92-00 1f:49:18 27 70.1 834.9 21770.0 20
52-92-00 1f:49:26 27 70.2 834.9 22164.0 17
52-92-00 1f:49:34 27 70.1 834.9 22504.0 17
52-92-00 1f:49:43 27 70.0 834.9 22713.0 17
52-92-00 1f:49:51 27 70.4 834.9 22902.0 17
52-92-00 1f:50:00 27 70.7 834.9 23045.0 15
